"TIME","GEO","UNIT","CRIM","Value"
"2000","Italy","Number","Total (all recorded offences)","2 205 782"
"2001","Italy","Number","Total (all recorded offences)","2 163 826"
"2002","Italy","Number","Total (all recorded offences)","2 231 550"
"2003","Italy","Number","Total (all recorded offences)","2 456 887"
"2004","Italy","Number","Total (all recorded offences)","2 417 716"
"2005","Italy","Number","Total (all recorded offences)","2 579 124"
"2006","Italy","Number","Total (all recorded offences)","2 771 490"
"2007","Italy","Number","Total (all recorded offences)","2 933 146"
"2008","Italy","Number","Total (all recorded offences)","2 709 888"
"2009","Italy","Number","Total (all recorded offences)","2 629 831"
